Nom,Nombre d'itérations,Dropout,Precision,Rappel,Score-F1,Accuracy,Tps appr (ms),Tps test (ms),Mem test(bit),nbr param,Taille(bit)
Deep_Neural_Network, 20, 0, 0.99, 0.9915, 0.9915, 0.9915, 41481, 335, 2345, 1883137, 4096
Deep_Neural_Network, 20, 0.2, 0.99, 0.9925, 0.9925, 0.9925, 82596, 350, 23438, 1883137, 4096
Deep_Neural_Network, 20, 0.5, 0.988, 0.992, 0.992, 0.992, 82573, 358, 23438, 1883137, 4096
Deep_Neural_Network, 20, 0.8, 0.991, 0.993, 0.993, 0.993, 82594, 356, 25789, 1883137, 4096
LSTM, 20, 0, 0.987, 0.9905, 0.9905, 0.9905, 133330, 1104, 23438, 885505, 4096
LSTM, 20, 0.2, 0.992, 0.9905, 0.9905, 0.9905, 140251, 1131, 32825, 885505, 4096
LSTM, 20, 0.5, 0.989, 0.991, 0.991, 0.991, 141234, 1117, 23438, 885505, 4096
LSTM, 20, 0.8, 0.991, 0.991, 0.991, 0.991, 140077, 1136, 23438, 885505, 4096
GRU, 20, 0, 0.977, 0.9846, 0.9845, 0.9845, 27414, 258, 46875, 127489, 4096
GRU, 20, 0.2, 0.985, 0.987, 0.987, 0.987, 27724, 254, 46875, 127489, 4096
GRU, 20, 0.5, 0.974, 0.9826, 0.9825, 0.9825, 43391, 252, 46875, 127489, 4096
GRU, 20, 0.8, 0.968, 0.9829, 0.9825, 0.9825, 28302, 272, 46875, 127489, 4096
BRNN, 20, 0, 0.988, 0.9905, 0.9905, 0.9905, 55763, 418, 46875, 582913, 4096
BRNN, 20, 0.2, 0.987, 0.9905, 0.9905, 0.9905, 56218, 408, 46875, 582913, 4096
BRNN, 20, 0.5, 0.986, 0.9895, 0.9895, 0.9895, 55663, 389, 46875, 582913, 4096
BRNN, 20, 0.8, 0.978, 0.9841, 0.984, 0.984, 55397, 403, 46875, 582913, 4096
RCNN, 20, 0, 0.982, 0.9891, 0.989, 0.989, 55044, 401, 46875, 582913, 4096
RCNN, 20, 0.2, 0.987, 0.9895, 0.9895, 0.9895, 86378, 403, 46875, 582913, 4096
RCNN, 20, 0.5, 0.988, 0.99, 0.99, 0.99, 85967, 375, 46875, 582913, 4096
RCNN, 20, 0.8, 0.98, 0.9845, 0.9845, 0.9845, 85081, 395, 46875, 582913, 4096
